"fuel category","generation (M MWh)","hovertext","year_quarter"
"Coal",482.291604,"482 Million MWh<br>2,217 lb/MWh","2001 Q1"
"Coal",454.879371,"454 Million MWh<br>2,226 lb/MWh","2001 Q2"
"Coal",516.334801,"516 Million MWh<br>2,237 lb/MWh","2001 Q3"
"Coal",450.450163,"450 Million MWh<br>2,211 lb/MWh","2001 Q4"
"Coal",458.892491,"458 Million MWh<br>2,213 lb/MWh","2002 Q1"
"Coal",458.378687,"458 Million MWh<br>2,234 lb/MWh","2002 Q2"
"Coal",528.516455,"528 Million MWh<br>2,244 lb/MWh","2002 Q3"
"Coal",487.342713,"487 Million MWh<br>2,218 lb/MWh","2002 Q4"
"Coal",493.297411,"493 Million MWh<br>2,203 lb/MWh","2003 Q1"
"Coal",454.507584,"454 Million MWh<br>2,211 lb/MWh","2003 Q2"
"Coal",532.094144,"532 Million MWh<br>2,219 lb/MWh","2003 Q3"
"Coal",493.837607,"493 Million MWh<br>2,204 lb/MWh","2003 Q4"
"Coal",496.4489319000001,"496 Million MWh<br>2,195 lb/MWh","2004 Q1"
"Coal",466.12923968,"466 Million MWh<br>2,196 lb/MWh","2004 Q2"
"Coal",523.92608656,"523 Million MWh<br>2,199 lb/MWh","2004 Q3"
"Coal",491.79629107,"491 Million MWh<br>2,190 lb/MWh","2004 Q4"
"Coal",496.44462125999996,"496 Million MWh<br>2,186 lb/MWh","2005 Q1"
"Coal",471.90819780000004,"471 Million MWh<br>2,181 lb/MWh","2005 Q2"
"Coal",545.3207271499999,"545 Million MWh<br>2,206 lb/MWh","2005 Q3"
"Coal",499.19949964999995,"499 Million MWh<br>2,184 lb/MWh","2005 Q4"
"Coal",489.17738476,"489 Million MWh<br>2,183 lb/MWh","2006 Q1"
"Coal",468.1294669500001,"468 Million MWh<br>2,181 lb/MWh","2006 Q2"
"Coal",538.86615539,"538 Million MWh<br>2,202 lb/MWh","2006 Q3"
"Coal",494.33812751999994,"494 Million MWh<br>2,176 lb/MWh","2006 Q4"
"Coal",499.15332420999994,"499 Million MWh<br>2,175 lb/MWh","2007 Q1"
"Coal",477.27570651999997,"477 Million MWh<br>2,194 lb/MWh","2007 Q2"
"Coal",544.5798769099998,"544 Million MWh<br>2,206 lb/MWh","2007 Q3"
"Coal",495.44667630000004,"495 Million MWh<br>2,185 lb/MWh","2007 Q4"
"Coal",510.2851021700001,"510 Million MWh<br>2,174 lb/MWh","2008 Q1"
"Coal",472.94220437,"472 Million MWh<br>2,200 lb/MWh","2008 Q2"
"Coal",528.6662966499999,"528 Million MWh<br>2,213 lb/MWh","2008 Q3"
"Coal",473.90764375000015,"473 Million MWh<br>2,182 lb/MWh","2008 Q4"
"Coal",448.3712629599999,"448 Million MWh<br>2,184 lb/MWh","2009 Q1"
"Coal",405.69480179000004,"405 Million MWh<br>2,208 lb/MWh","2009 Q2"
